Time Stamp,Motor Amps 1,Batt Amps 1,Internal Sensor Speed RPM 1,Ramped Command 1,Motor Command 1,Internal Sensor Speed RPM 2
26/11/2020 11:05:22 PM,0,0.9,0,8,463,0
26/11/2020 11:05:22 PM,4.2,1.1,0,15,511,0
26/11/2020 11:05:22 PM,7.5,1.4,0,22,511,0
26/11/2020 11:05:22 PM,12.8,2,51,30,511,0
26/11/2020 11:05:23 PM,12.1,2.1,61,37,511,0
26/11/2020 11:05:23 PM,12.6,2.4,94,44,655,-111
26/11/2020 11:05:23 PM,13.4,2.7,123,51,655,-67
26/11/2020 11:05:23 PM,14.4,2.6,153,58,728,-97
26/11/2020 11:05:23 PM,15,2.8,181,65,728,-119
26/11/2020 11:05:23 PM,16,2.7,210,73,750,-145
26/11/2020 11:05:23 PM,16.9,3.1,240,80,750,-167
26/11/2020 11:05:23 PM,17.7,3.1,269,87,750,-194
26/11/2020 11:05:24 PM,18.5,3.2,298,94,750,-215
26/11/2020 11:05:24 PM,19.2,3.4,328,101,750,-242
26/11/2020 11:05:24 PM,20.3,3.6,355,108,750,-267
26/11/2020 11:05:24 PM,20.7,3.8,387,115,750,-294
26/11/2020 11:05:24 PM,21.1,3.9,415,123,750,-316
26/11/2020 11:05:24 PM,21.7,4.4,449,130,750,-346
26/11/2020 11:05:24 PM,22,4.1,481,137,750,-367
26/11/2020 11:05:24 PM,22.5,4.7,509,144,750,-395
26/11/2020 11:05:25 PM,22.9,4.7,541,151,750,-415
26/11/2020 11:05:25 PM,23,5.2,566,158,750,-442
26/11/2020 11:05:25 PM,23.4,5,598,165,750,-462
26/11/2020 11:05:25 PM,23.6,5.5,630,173,750,-490
26/11/2020 11:05:25 PM,23.9,5.3,661,180,750,-514
26/11/2020 11:05:25 PM,24.1,5.7,690,187,750,-541
26/11/2020 11:05:25 PM,24.2,5.7,721,194,750,-570
26/11/2020 11:05:25 PM,24.9,6,755,201,750,-591
26/11/2020 11:05:25 PM,24.9,6.2,787,208,750,-618
26/11/2020 11:05:26 PM,25.1,6.2,814,216,750,-643
26/11/2020 11:05:26 PM,25.4,6.7,842,223,750,-670
26/11/2020 11:05:26 PM,25.5,6.7,873,230,750,-695
26/11/2020 11:05:26 PM,25.6,6.8,907,237,750,-721
26/11/2020 11:05:26 PM,25.7,6.8,942,244,750,-744
26/11/2020 11:05:26 PM,26.2,8,971,251,750,-774
26/11/2020 11:05:26 PM,26.2,7.3,1013,258,750,-807
26/11/2020 11:05:26 PM,26.6,8.2,1035,266,750,-828
26/11/2020 11:05:26 PM,26.5,7.8,1070,273,750,-850
26/11/2020 11:05:27 PM,26.6,8,1094,280,750,-881
26/11/2020 11:05:27 PM,26.9,8.2,1120,287,750,-907
26/11/2020 11:05:27 PM,26.9,8.4,1161,294,750,-933
26/11/2020 11:05:27 PM,27.1,9.4,1190,301,750,-962
26/11/2020 11:05:27 PM,27.2,8.4,1221,308,750,-992
26/11/2020 11:05:27 PM,27.4,9.4,1253,316,750,-1013
26/11/2020 11:05:27 PM,27,8.9,1287,323,750,-1035
26/11/2020 11:05:27 PM,27.1,9.7,1322,330,750,-1070
26/11/2020 11:05:28 PM,27.1,9.1,1360,337,750,-1094
26/11/2020 11:05:28 PM,27.5,10,1360,344,750,-1120
26/11/2020 11:05:28 PM,27.5,9.5,1400,351,750,-1147
26/11/2020 11:05:28 PM,27.8,10.4,1443,358,750,-1161
26/11/2020 11:05:28 PM,28,10,1488,366,750,-1190
26/11/2020 11:05:28 PM,28,10.5,1511,373,750,-1221
26/11/2020 11:05:28 PM,27.9,10.8,1511,380,750,-1253
26/11/2020 11:05:28 PM,27.9,10.6,1561,387,750,-1287
26/11/2020 11:05:29 PM,28,11,1587,394,750,-1304
26/11/2020 11:05:29 PM,28.1,10.8,1614,401,750,-1341
26/11/2020 11:05:29 PM,28.1,11.6,1642,409,750,-1360
26/11/2020 11:05:29 PM,28.2,11.2,1670,416,750,-1400
26/11/2020 11:05:29 PM,28.3,11.9,1700,423,750,-1421
26/11/2020 11:05:29 PM,28.4,11.7,1731,430,750,-1421
26/11/2020 11:05:29 PM,28.4,12.6,1763,437,750,-1465
26/11/2020 11:05:29 PM,28.7,12.1,1796,444,750,-1488
26/11/2020 11:05:30 PM,28.3,12.5,1831,451,750,-1511
26/11/2020 11:05:30 PM,28.4,12.5,1867,459,750,-1536
26/11/2020 11:05:30 PM,28.7,12.5,1867,466,750,-1561
26/11/2020 11:05:30 PM,28.4,12.6,1904,473,750,-1587
26/11/2020 11:05:30 PM,28.3,12.7,1943,480,750,-1614
26/11/2020 11:05:30 PM,28.3,13.9,1943,487,750,-1642
26/11/2020 11:05:30 PM,28.6,13.1,1984,494,750,-1670
26/11/2020 11:05:30 PM,28.2,13.5,2070,501,750,-1700
26/11/2020 11:05:30 PM,28.5,13.9,2070,509,750,-1731
26/11/2020 11:05:31 PM,28.4,13.8,2070,516,750,-1731
26/11/2020 11:05:31 PM,28.5,14.4,2116,523,750,-1763
26/11/2020 11:05:31 PM,28.4,14.6,2164,530,750,-1796
26/11/2020 11:05:31 PM,28.7,14.3,2164,537,750,-1796
26/11/2020 11:05:31 PM,28.4,14.4,2214,544,750,-1867
26/11/2020 11:05:31 PM,28.6,15,2267,551,750,-1831
26/11/2020 11:05:31 PM,28.9,14.9,2267,559,750,-1943
26/11/2020 11:05:31 PM,28.4,15.5,2322,566,750,-1943
26/11/2020 11:05:32 PM,28.4,15.3,2380,573,750,-1904
26/11/2020 11:05:32 PM,28.6,15.9,2380,580,750,-1943
26/11/2020 11:05:32 PM,28.4,15.5,2380,587,750,-2026
26/11/2020 11:05:32 PM,29.2,16.9,2506,594,750,-2026
26/11/2020 11:05:32 PM,28.3,16,2442,602,750,-2026
26/11/2020 11:05:32 PM,28.5,16.5,2442,609,750,-2070
26/11/2020 11:05:32 PM,28.5,16.6,2506,616,750,-2116
26/11/2020 11:05:32 PM,28.4,16.8,2506,623,750,-2116
26/11/2020 11:05:33 PM,28.2,16.5,2645,630,750,-2116
26/11/2020 11:05:33 PM,28.4,16.4,2645,637,750,-2164
26/11/2020 11:05:33 PM,28.6,16.9,2645,644,750,-2164
26/11/2020 11:05:33 PM,28.4,17.1,2645,652,750,-2214
26/11/2020 11:05:33 PM,28.5,17.7,2645,659,750,-2214
26/11/2020 11:05:33 PM,28.8,17.4,2721,666,750,-2214
26/11/2020 11:05:33 PM,28.2,17.9,2721,673,750,-2322
26/11/2020 11:05:33 PM,28.1,18.1,2801,680,750,-2380
26/11/2020 11:05:33 PM,28,18.9,2801,687,750,-2322
26/11/2020 11:05:34 PM,28.5,18.6,2801,694,750,-2380
26/11/2020 11:05:34 PM,28.3,20,2801,702,750,-2380
26/11/2020 11:05:34 PM,28.3,17.6,2886,709,750,-2380
26/11/2020 11:05:34 PM,28.6,21.7,2886,716,750,-2442
26/11/2020 11:05:34 PM,28.6,18.5,2976,723,750,-2506
26/11/2020 11:05:34 PM,28.1,19.4,2976,730,750,-2506
26/11/2020 11:05:34 PM,28,19.8,2976,737,750,-2574
26/11/2020 11:05:35 PM,28.8,19.7,2976,744,750,-2506
26/11/2020 11:05:35 PM,27.8,20.4,3072,750,750,-2574
26/11/2020 11:05:35 PM,27.5,18.9,3072,750,750,-2506
26/11/2020 11:05:35 PM,26.9,19.2,3072,750,750,-2574
26/11/2020 11:05:35 PM,26.6,18.8,3174,750,750,-2574
26/11/2020 11:05:35 PM,26.2,19.3,3072,750,750,-2645
26/11/2020 11:05:35 PM,26.2,18.8,3072,750,750,-2645
26/11/2020 11:05:35 PM,26.2,19,3072,750,750,-2574
26/11/2020 11:05:35 PM,26.2,19.1,3072,750,750,-2574
26/11/2020 11:05:36 PM,26.2,19.2,3174,750,750,-2574
26/11/2020 11:05:36 PM,26.2,18.5,3072,750,750,-2645
26/11/2020 11:05:36 PM,26.2,18.7,2976,750,750,-2574
26/11/2020 11:05:36 PM,26.2,18.7,3072,750,750,-2645
26/11/2020 11:05:36 PM,26,18.4,3072,750,750,-2645
26/11/2020 11:05:36 PM,26.1,19,3072,750,750,-2645
26/11/2020 11:05:36 PM,25.8,18.2,3072,750,750,-2645
26/11/2020 11:05:36 PM,25.8,19,3072,750,750,-2645
26/11/2020 11:05:37 PM,26,18.7,3072,750,750,-2645
26/11/2020 11:05:37 PM,26,19.1,3072,750,750,-2574
26/11/2020 11:05:37 PM,25.9,18.5,3072,750,750,-2574
26/11/2020 11:05:37 PM,25.9,18.8,3072,750,750,-2645
26/11/2020 11:05:37 PM,25.7,18.4,3072,750,750,-2645
26/11/2020 11:05:37 PM,25.7,18.7,3072,750,750,-2574
26/11/2020 11:05:37 PM,26,18.5,3072,750,750,-2645
26/11/2020 11:05:37 PM,25.7,18.6,3072,750,750,-2645
26/11/2020 11:05:38 PM,25.7,18.4,3072,750,750,-2645
26/11/2020 11:05:38 PM,25.7,18.1,3072,750,750,-2574
26/11/2020 11:05:38 PM,25.7,18.5,3072,750,750,-2645
26/11/2020 11:05:38 PM,25.7,18.5,3072,750,750,-2574
26/11/2020 11:05:38 PM,25.9,18.6,3174,750,750,-2574
26/11/2020 11:05:38 PM,25.6,18,3072,750,750,-2645
26/11/2020 11:05:38 PM,25.7,18.9,3072,750,750,-2645
26/11/2020 11:05:38 PM,25.4,18.3,3072,750,750,-2645
26/11/2020 11:05:38 PM,25.7,18.8,3174,750,750,-2645
26/11/2020 11:05:39 PM,25.6,18.9,3072,750,750,-2574
26/11/2020 11:05:39 PM,25.7,18.9,3072,750,750,-2574
26/11/2020 11:05:39 PM,25.5,18.5,3174,750,750,-2574
26/11/2020 11:05:39 PM,25.5,18.6,3072,750,750,-2574
26/11/2020 11:05:39 PM,25.3,18.9,3072,750,750,-2645
